"","IWDA.L.Open","IWDA.L.High","IWDA.L.Low","IWDA.L.Close","IWDA.L.Volume","IWDA.L.Adjusted"
"2018-06-14",55.7000007629395,55.7000007629395,54.5499992370605,54.8300018310547,882051,54.8300018310547
"2018-06-21",55.0099983215332,55.2000007629395,53.7799987792969,54.0299987792969,590320,54.0299987792969
"2018-06-28",54.3800010681152,54.7000007629395,53.7999992370605,54.4799995422363,1839026,54.4799995422363
"2018-07-05",54.7700004577637,55.7000007629395,54.5499992370605,55.4500007629395,984262,55.4500007629395
"2018-07-12",55.6500015258789,55.8600006103516,55.4099998474121,55.6599998474121,831564,55.6599998474121
"2018-07-19",55.6300010681152,56.4700012207031,55.4599990844727,56.4099998474121,996037,56.4099998474121
"2018-07-26",56.5299987792969,56.5299987792969,55.4500007629395,55.7700004577637,951986,55.7700004577637
"2018-08-02",55.9700012207031,56.5900001525879,55.8800010681152,56.4799995422363,2700760,56.4799995422363
"2018-08-09",55.9599990844727,56.0299987792969,54.8899993896484,55.6500015258789,1250780,55.6500015258789
"2018-08-16",55.7400016784668,56.3699989318848,55.4599990844727,56.1300010681152,1164335,56.1300010681152
"2018-08-23",56.1800003051758,57.2400016784668,56.1599998474121,56.9500007629395,2480067,56.9500007629395
"2018-08-30",56.8699989318848,56.9599990844727,55.8600006103516,55.9300003051758,819017,55.9300003051758
"2018-09-06",56.0800018310547,56.6699981689453,55.7000007629395,56.4900016784668,941939,56.4900016784668
"2018-09-13",56.7900009155273,57.4099998474121,56.5400009155273,57.3800010681152,2522117,57.3800010681152
"2018-09-20",57.5400009155273,57.7000007629395,57.0900001525879,57.439998626709,1091910,57.439998626709
"2018-09-27",57.5,57.560001373291,56.6399993896484,56.6500015258789,1080941,56.6500015258789
"2018-10-04",56.9300003051758,56.9300003051758,53.6599998474121,53.810001373291,2391392,53.810001373291
"2018-10-11",54.3300018310547,55.0699996948242,53.5200004577637,54.2000007629395,1304595,54.2000007629395
"2018-10-18",54.2000007629395,54.4599990844727,51.9500007629395,52.5499992370605,1509712,52.5499992370605
"2018-10-25",52.1100006103516,53.3800010681152,51.310001373291,53.2900009155273,2229812,53.2900009155273
"2018-11-02",54,54.7700004577637,53.1399993896484,54.6699981689453,2100419,54.6699981689453
"2018-11-09",54.3300018310547,54.3300018310547,52.2999992370605,52.7900009155273,2575182,52.7900009155273
"2018-11-16",53.1399993896484,53.5499992370605,51.560001373291,51.7099990844727,2711561,51.7099990844727
"2018-11-23",51.9000015258789,53.4199981689453,51.5800018310547,53.2900009155273,1775860,53.2900009155273
"2018-11-30",53.439998626709,54.6500015258789,51.1500015258789,51.2299995422363,3100480,51.2299995422363
"2018-12-07",52.0099983215332,52.5900001525879,50.5,51.8400001525879,2108471,51.8400001525879
"2018-12-14",51.2099990844727,51.4300003051758,49.0400009155273,49.0699996948242,7460051,49.0699996948242
"2018-12-21",49.0499992370605,49.0999984741211,47.6800003051758,48.2099990844727,2442385,48.2099990844727
"2018-12-28",48.9700012207031,49.6599998474121,48.4300003051758,48.7599983215332,1264515,48.7599983215332
"2019-01-04",49.0699996948242,51.310001373291,48.9500007629395,51.310001373291,3339138,51.310001373291
"2019-01-11",51.4500007629395,51.7900009155273,50.8400001525879,51.75,1982944,51.75
"2019-01-18",52.0200004577637,52.6199989318848,51.8300018310547,52.0499992370605,898738,52.0499992370605
"2019-01-25",52.3699989318848,53.2799987792969,52.0099983215332,53.2700004577637,2803952,53.2700004577637
"2019-02-01",53.4099998474121,53.9000015258789,53.0099983215332,53.0099983215332,1247214,53.0099983215332
"2019-02-08",52.939998626709,54.1599998474121,52.7799987792969,53.75,883528,53.75
"2019-02-15",53.7400016784668,54.939998626709,53.6500015258789,54.6599998474121,1173580,54.6599998474121
"2019-02-22",54.6800003051758,55.3199996948242,54.6599998474121,55.0200004577637,2019368,55.0200004577637
"2019-03-01",55.2400016784668,55.4199981689453,54.1100006103516,54.3800010681152,3926873,54.3800010681152
"2019-03-08",54.0200004577637,55.4799995422363,53.75,55.3499984741211,3696214,55.3499984741211
"2019-03-15",55.4099998474121,56.2400016784668,55.3899993896484,55.9500007629395,1208827,55.9500007629395
