"","IWDP.L.Open","IWDP.L.High","IWDP.L.Low","IWDP.L.Close","IWDP.L.Volume","IWDP.L.Adjusted"
"2017-08-31",1990,2005.26000976562,1965.58996582031,1977,458072,1971.80017089844
"2017-09-07",1980,1990,1930.5,1935.25,1233173,1930.15979003906
"2017-09-14",1939,1943.34997558594,1896.11999511719,1898.75,470756,1893.755859375
"2017-09-21",1897.5,1920.125,1876,1888,879470,1883.03405761719
"2017-09-28",1904.5,1963.5,1903,1959.75,458209,1954.59545898438
"2017-10-05",1963.5,1969.5,1943.64001464844,1967.5,347831,1962.32507324219
"2017-10-12",1953.5,1980,1941.35998535156,1961.5,358889,1956.34069824219
"2017-10-19",1973,1976.40002441406,1909.56994628906,1921,255459,1915.94714355469
"2017-10-26",1928,1964.90002441406,1904,1961.25,415349,1956.09155273438
"2017-11-03",1961.5,1984.32495117188,1944.375,1976.5,459808,1971.30090332031
"2017-11-10",2008,2008,1950.09997558594,1961.5,393265,1956.34069824219
"2017-11-17",1958.5,1964.5,1942,1953.75,1583605,1948.73559570312
"2017-11-24",1951.5,1958,1919.5,1923.75,648225,1918.81274414062
"2017-12-01",1921.5,1939,1919.5,1922.25,600369,1917.31640625
"2017-12-08",1909.5,1983.5,1909.5,1949.75,1115485,1944.74597167969
"2017-12-15",1949.5,1979.5,1930.5,1934.25,871158,1929.28552246094
"2017-12-22",1933,1953.5,1926,1950.75,92783,1945.74291992188
"2017-12-29",1953.5,1953.5,1932.5,1933.25,325510,1928.28833007812
"2018-01-05",1922,1942,1902,1900,384496,1895.12353515625
"2018-01-12",1897,1897,1851,1850.25,867074,1845.50122070312
"2018-01-19",1852,1871.5,1831.5,1834.25,1517112,1829.54235839844
"2018-01-26",1846.5,1853.5,1807,1808,1493797,1803.35925292969
"2018-02-02",1798.5,1806,1734,1752.25,888319,1747.75231933594
"2018-02-09",1720.80004882812,1770.5,1720.80004882812,1728.75,1270946,1724.31323242188
"2018-02-16",1744,1763.5,1727,1748.75,1436072,1744.39208984375
"2018-02-23",1747.5,1774.5,1743.5,1763.25,481998,1758.85559082031
"2018-03-02",1758.5,1785,1743.5,1783.75,724562,1779.30444335938
"2018-03-09",1786,1793.5,1772,1779.75,649857,1775.31481933594
"2018-03-16",1783,1787,1738,1752,684138,1747.63403320312
"2018-03-23",1741,1772.5,1701.5,1770.75,608316,1766.33703613281
"2018-03-29",1770.75,1782.5,1747.5,1780.5,512239,1776.06286621094
"2018-04-05",1783.5,1783.5,1742.5,1743,411336,1738.65612792969
"2018-04-12",1742,1773.5,1733,1753.75,756123,1749.37939453125
"2018-04-19",1767,1784,1755.5,1782.75,486417,1778.30725097656
"2018-04-26",1789,1861,1789,1858.75,380539,1854.11743164062
"2018-05-03",1859,1909.5,1857.5,1906,482637,1901.25048828125
"2018-05-10",1909.5,1909.5,1838,1841.5,547060,1836.91076660156
"2018-05-17",1841,1892.5,1837,1884.25,518028,1879.73059082031
"2018-05-24",1891,1923,1891,1920.75,344423,1916.14294433594
"2018-05-31",1921.5,1939,1912,1920,691273,1915.39501953125
"2018-06-07",1917.5,1940,1901.5,1923.5,296139,1918.88659667969
"2018-06-14",1934,1957,1926.5,1939.25,436628,1934.59875488281
"2018-06-21",1944.5,1967,1941.5,1963.75,3381279,1959.03991699219
"2018-06-28",1978.5,1978.5,1957.5,1966.75,609534,1962.0322265625
"2018-07-05",1979,1987.5,1969,1973.5,237319,1968.76635742188
"2018-07-12",1985,1991,1957.84497070312,1989,326645,1984.2294921875
"2018-07-19",1995.5,1996.5,1961.5,1984,412731,1979.24133300781
"2018-07-26",1986,2005,1964,2000.5,247023,1995.70153808594
"2018-08-02",2007.5,2045.5,2005.5,2038.75,252987,2033.86010742188
"2018-08-09",2040,2048,2019.5,2043.5,382154,2038.5986328125
"2018-08-16",2044,2063.5,2021.5,2030.25,358658,2025.55383300781
"2018-08-23",2031,2057.5,2021.5,2022.25,239252,2017.57214355469
"2018-08-30",2016.5,2043.5,1997,2014,474351,2009.341796875
"2018-09-06",2016,2016,1982,1991,301614,1986.39477539062
"2018-09-13",1993.5,1996,1943.5,1952.75,229243,1948.23291015625
"2018-09-20",1958,1985,1935,1947.75,269825,1943.2451171875
"2018-09-27",1948,1967,1903,1903,233036,1898.59814453125
"2018-10-04",1900.5,1925,1863,1864.5,346370,1860.18713378906
"2018-10-11",1847.5,1899.5,1835.5,1892.5,425175,1888.12268066406
"2018-10-18",1893,1925.5,1874,1933,302464,1928.52893066406
"2018-10-25",1933,1961,1900,1912.75,442240,1908.32580566406
"2018-11-02",1919.5,1940.5,1893,1932,421447,1927.53125
"2018-11-09",1947.5,1975,1934.5,1947.5,252649,1942.99548339844
"2018-11-16",1943.5,1968,1932,1934.5,627849,1930.2587890625
"2018-11-23",1940,2002,1939.5,1975,1789469,1970.67041015625
"2018-11-30",1977.5,2008.5,1952.5,1956,2060751,1951.71179199219
"2018-12-07",1999,2029,1973,1992,416874,1987.63330078125
"2018-12-14",1980.5,2003.5,1920,1929.25,475973,1925.02038574219
"2018-12-21",1912,1923.5,1841.5,1855.5,107018,1851.43237304688
"2018-12-28",1879.5,1887.5,1845,1873,338509,1868.89404296875
"2019-01-04",1877.5,1941,1871,1936,362476,1931.755859375
"2019-01-11",1945,1960.5,1933.5,1947.25,243230,1942.98095703125
"2019-01-18",1951,1969.5,1937,1947.5,335148,1943.23059082031
"2019-01-25",1949,2019.5,1946,2010.25,1507905,2005.84350585938
"2019-02-01",2016,2058.5,2002,2042.75,229791,2038.27197265625
"2019-02-08",2034,2073,2034,2051.75,1047059,2047.251953125
"2019-02-15",2046,2070.5,2007.5,2016.75,454666,2012.46801757812
"2019-02-22",2026,2038.5,1963.5,1989.75,384108,1985.52490234375
"2019-03-01",1990.5,2011,1976.5,2007,432928,2002.73864746094
"2019-03-08",2001,2039.5,2000,2016.75,549257,2012.46801757812
"2019-03-15",2046.5,2067.5,2013,2073.25,332452,2068.84838867188
"2019-03-22",2062.5,2078.5,2030,2077.25,425177,2072.83959960938
"2019-03-29",2086.5,2102.5,2073,2084.75,510320,2080.32397460938
"2019-04-04",2082,2102.5,2072.5,2085.25,288559,2080.82250976562
"2019-04-11",2090,2091,2036.5,2049.75,474636,2045.39770507812
"2019-04-18",2049.75,2085.5,2036.5,2080.5,239761,2076.08251953125
"2019-04-25",2087.5,2089,2054,2068.25,253669,2063.85888671875
"2019-05-02",2091.5,2091.5,2040,2040.25,375557,2035.91772460938
"2019-05-09",2046.5,2125,2046.5,2125,377169,2120.48779296875
"2019-05-16",2111.5,2139,2109,2121.75,300683,2117.41845703125
"2019-05-23",2132.5,2150.5,2095.5,2106.75,475869,2102.44946289062
"2019-05-30",2106.5,2138,2087,2123.75,511292,2119.41381835938
"2019-06-06",2126.5,2154,2122,2139,371950,2134.63305664062
"2019-06-13",2156.5,2211,2148.5,2177,439671,2172.55541992188
"2019-06-20",2173,2179.5,2095.5,2112,292182,2107.6884765625
"2019-06-27",2111.5,2209.5,2111.5,2206.75,477401,2202.24462890625
"2019-07-04",2207.5,2241,2192.5,2201.75,302968,2197.25512695312
"2019-07-11",2210,2224,2192.5,2195.75,162730,2191.26733398438
"2019-07-18",2204,2210.5,2170.5,2180.75,456963,2176.29833984375
"2019-07-25",2190.5,2256,2185,2225.25,236168,2220.70751953125
"2019-08-01",2236,2238,2174.5,2238.25,340011,2233.68041992188
"2019-08-08",2248,2262,2214.80004882812,2224,268594,2219.458984375
"2019-08-15",2220.5,2271.5,2206.5,2211,455648,2206.48608398438
"2019-08-22",2232,2237.5,2201.98901367188,2234.5,150624,2230.13891601562
"2019-08-29",2241,2282,2227.36206054688,2235,291298,2230.63793945312
"2019-09-05",2239,2268,2209,2234.5,170101,2230.13891601562
"2019-09-12",2236,2236,2193,2223.5,1199357,2219.15942382812
"2019-09-19",2200.5,2261.97412109375,2200.5,2255.5,832862,2251.09741210938
"2019-09-26",2278.5,2287,2226.89990234375,2249,269855,2244.6103515625
"2019-10-03",2259,2297.5,2254.10009765625,2272.5,525603,2268.06420898438
"2019-10-10",2257.5,2260,2196.76000976562,2211.5,451225,2207.18334960938
"2019-10-17",2213.5,2237.61010742188,2197.32299804688,2236.75,175706,2232.3837890625
"2019-10-24",2231,2237.5,2205.36010742188,2212,190698,2207.68212890625
"2019-11-01",2217,2241,2190.80004882812,2196.25,316614,2191.96240234375
"2019-11-08",2180,2192,2142.5,2152.25,410275,2148.04956054688
"2019-11-15",2167.5,2186.71997070312,2150.71411132812,2157.75,280413,2153.6689453125
"2019-11-22",2152,2204,2149.5,2189.75,403211,2185.6083984375
"2019-11-29",2175.5,2193.47998046875,2120.67993164062,2125.75,267421,2121.72998046875
"2019-12-06",2138,2151.32006835938,2097,2097.75,216737,2093.78295898438
"2019-12-13",2060.5,2128,2048.5,2124.25,502987,2120.23168945312
"2019-12-20",2128,2157,2123.5,2143.75,533628,2139.6953125
"2019-12-27",2140.5,2153.3798828125,2128.30004882812,2133.75,71418,2129.71459960938
"2020-01-03",2130,2154.5,2117,2134.5,1052886,2130.462890625
"2020-01-10",2145.5,2197,2134.44995117188,2191.25,310459,2187.10595703125
"2020-01-17",2205.5,2220,2184,2190.75,335348,2186.60717773438
"2020-01-24",2193,2234.5,2172,2175,521797,2170.8857421875
"2020-01-31",2172,2217.5,2147,2213.5,422858,2209.31420898438
"2020-02-07",2225.5,2249.5,2205.3798828125,2211.75,200214,2207.56689453125
"2020-02-14",2222.5,2255.5,2216.5,2241,241374,2236.904296875
"2020-02-21",2247,2249.4560546875,2084.8359375,2109,462673,2105.14624023438
"2020-02-28",2048,2142.19995117188,1980.28002929688,2113.5,479026,2109.6376953125
"2020-03-06",2066.5,2207.96997070312,1707,1742,442726,1738.81677246094
"2020-03-13",1762,1809.5,1419.5,1493,753018,1490.271484375
"2020-03-20",1518.5,1647.5,1418.5,1650.75,414173,1647.73327636719
"2020-03-27",1623,1664,1497.5,1504.5,574414,1501.75048828125
"2020-04-02",1485,1754,1476.5,1756.5,472925,1753.29016113281
"2020-04-09",1756.5,1756.5,1631,1640.75,224292,1637.75170898438
"2020-04-16",1636.5,1704.5,1614.5,1642.75,390379,1639.74792480469
"2020-04-23",1644,1760,1614,1689.5,370003,1686.41259765625
"2020-04-30",1675,1690,1629.92504882812,1683.5,405782,1680.42333984375
"2020-05-07",1683.5,1727,1525.5,1552.25,569757,1549.41333007812
"2020-05-14",1558.5,1674.5,1558.5,1646.75,477123,1643.91711425781
"2020-05-21",1638.5,1759.83203125,1632.5,1733.5,329475,1730.51794433594
"2020-05-28",1726,1811,1705.5,1805,587291,1801.89514160156
"2020-06-04",1825,1906.5,1737,1739.75,599373,1736.75720214844
"2020-06-11",1760,1857.5,1728.68994140625,1820.25,353326,1817.11889648438
"2020-06-18",1822,1844.5,1716.5,1730,1156424,1727.0244140625
"2020-06-25",1750,1818,1730.5,1795.25,656701,1792.16174316406
"2020-07-02",1794.5,1824.5,1700,1703.75,302643,1700.81921386719
"2020-07-09",1708.5,1749.5,1700,1724.25,187994,1721.28393554688
"2020-07-16",1723.5,1742.5,1698,1721.25,229586,1718.2890625
"2020-07-23",1710.5,1734.22497558594,1679.5,1716.25,402739,1713.2978515625
"2020-07-30",1707.5,1741,1687.59997558594,1719.25,585497,1716.29260253906
"2020-08-06",1717.5,1769.78295898438,1708,1731.25,178064,1728.27209472656
"2020-08-13",1721,1735,1683,1707.5,544753,1704.6982421875
"2020-08-20",1701.5,1748.5,1700,1720.25,245420,1717.42724609375
"2020-08-27",1717.5,1757,1669,1721.25,190158,1718.42553710938
"2020-09-03",1726.5,1762,1700,1755.5,278168,1752.61962890625
"2020-09-10",1758,1798,1743.5,1775,147435,1772.08752441406
"2020-09-17",1767,1773.5,1665.5,1679.75,659425,1676.99365234375
"2020-09-24",1680.5,1735,1669,1725.75,224772,1722.91821289062
"2020-10-01",1729,1782.01794433594,1710,1773.5,263336,1770.58996582031
"2020-10-08",1779,1785,1716,1742.75,289448,1739.89038085938
"2020-10-15",1741.5,1752.5,1672.5,1700.75,300612,1697.95922851562
"2020-10-22",1706.5,1719.5,1624.8349609375,1653,416838,1650.28747558594
"2020-10-30",1636,1742.5,1627,1724.75,234536,1721.91979980469
"2020-11-06",1719,1858.5,1701.5,1805.25,286562,1802.2880859375
"2020-11-13",1790,1867.5,1775.5,1809.75,276598,1806.88586425781
"2020-11-20",1805.5,1836.5,1800,1819.75,273824,1816.86999511719
"2020-11-27",1821.5,1828.44995117188,1791,1807.75,316359,1804.88891601562
"2020-12-04",1813,1850,1806,1825.75,407051,1822.86071777344
"2020-12-11",1815,1839.5,1808.55004882812,1823.25,266676,1820.36450195312
"2020-12-18",1828,1839,1775.5,1792.25,242337,1789.41369628906
"2020-12-25",1792.25,1865,1792.25,1807.5,125194,1804.63940429688
"2021-01-01",1807.5,1829.5,1784.93005371094,1787.25,221570,1784.42150878906
"2021-01-08",1790,1804,1760,1794.25,283160,1791.41052246094
"2021-01-15",1794,1835.5,1786,1796.75,313617,1793.90637207031
"2021-01-22",1811,1823.5,1768,1817.25,283168,1814.37390136719
"2021-01-29",1789,1837,1787.5,1832.25,258582,1829.35034179688
"2021-02-05",1833.5,1850,1825.5,1839,425884,1836.08923339844
"2021-02-12",1832,1850,1801.5,1805.25,185057,1802.49670410156
"2021-02-19",1808,1859.2900390625,1798,1852,273325,1849.1748046875
"2021-02-26",1841,1852,1813.5,1822.5,286398,1819.72021484375
"2021-03-05",1807.5,1866,1796,1863,2259985,1860.15832519531
"2021-03-12",1864,1924.5,1854.5,1890.75,275215,1887.86584472656
"2021-03-19",1880,1908.75695800781,1863.5,1890,292674,1887.11694335938
"2021-03-26",1901.5,1925,1894,1903.75,300994,1900.84594726562
"2021-04-01",1903.75,1965,1903.75,1954,351140,1951.01953125
"2021-04-08",1957,1973.14001464844,1938.97998046875,1971.75,177813,1968.7421875
"2021-04-15",1983,2005,1949.06005859375,2002.75,206408,1999.69506835938
"2021-04-22",1991.5,2009.5,1982.5,1996.75,735841,1993.70422363281
"2021-04-29",1993,2016.5,1968.5,1984.5,305697,1981.47290039062
"2021-05-06",1985,1998.46997070312,1887.5,1923.5,248607,1920.56567382812
"2021-05-13",1938.5,1949.5,1917.5,1946.25,383160,1943.42761230469
"2021-05-20",1952.5,1997.5,1939,1975.25,337978,1972.38586425781
"2021-05-27",1970.5,2041,1970.5,2029,788647,2026.05773925781
"2021-06-03",2028,2086.5,2016,2075.25,133259,2072.24047851562
"2021-06-10",2082.5,2093.5,2045.5,2059,146525,2056.01440429688
"2021-06-17",2072,2083.5,2039.5,2061.75,697273,2058.76049804688
"2021-06-24",2067,2082.5,2048.5,2068,156789,2065.00073242188
"2021-07-01",2075.5,2100,2064.5,2093.25,142704,2090.21411132812
"2021-07-08",2120,2134.5,2077.5,2107.5,132225,2104.44360351562
"2021-07-15",2124.5,2156.39990234375,2088.5,2125,174594,2121.91918945312
"2021-07-22",2126.5,2138.5,2110,2119,163066,2115.92700195312
"2021-07-29",2113.5,2147,2100,2126.75,127997,2123.666015625
"2021-08-05",2126,2142,2101,2111.5,141995,2108.43872070312
"2021-08-12",2119.5,2136,2109.5,2120.75,173980,2117.79736328125
"2021-08-19",2133,2147.5,2110.5,2122.5,179065,2119.54516601562
"2021-08-26",2134.5,2179.5,2124.5,2165,436836,2161.986328125
"2021-09-02",2179,2179.5,2136.5,2138.5,256672,2135.52294921875
"2021-09-09",2123.5,2132,2097,2110,94283,2107.0625
"2021-09-16",2119,2134,2058.5,2109.75,184901,2106.81298828125
"2021-09-23",2096.5,2117.5,2065.5,2082,131425,2079.10131835938
"2021-09-30",2063.5,2114,2043.31005859375,2094.25,223509,2091.33471679688
"2021-10-07",2093.5,2127.5,2056.5,2123.5,147607,2120.54345703125
"2021-10-14",2137,2142,2111,2132.75,304877,2129.78100585938
"2021-10-21",2136.5,2160.67504882812,2132.5,2156.5,79210,2153.49755859375
"2021-10-28",2165.5,2218.5,2138.40502929688,2209.75,140921,2206.67407226562
