"","INRG.L.Open","INRG.L.High","INRG.L.Low","INRG.L.Close","INRG.L.Volume","INRG.L.Adjusted"
"2017-12-15",389.100006103516,398.055999755859,389.100006103516,398.25,214316,397.8662109375
"2017-12-22",398.700012207031,399.600006103516,395,400,48007,399.614532470703
"2017-12-29",401.839996337891,406.100006103516,399.506011962891,400.049987792969,2031135,399.664459228516
"2018-01-05",402,413,402,414.049987792969,52151,413.650939941406
"2018-01-12",415,415,400.700012207031,399.649993896484,88965,399.264801025391
"2018-01-19",400.200012207031,402,386.100006103516,389.350006103516,121368,388.974792480469
"2018-01-26",390.600006103516,398.399993896484,388.772003173828,387.049987792969,131572,386.677001953125
"2018-02-02",386,386,366.200012207031,370.850006103516,694552,370.49267578125
"2018-02-09",367.899993896484,386.399993896484,367.899993896484,384.75,232795,384.379241943359
"2018-02-16",390.299987792969,397.299987792969,389.100006103516,396.649993896484,115737,396.267730712891
"2018-02-23",393.399993896484,397.299987792969,393.399993896484,394.850006103516,55114,394.469482421875
"2018-03-02",393,396.399993896484,388.100006103516,396.149993896484,85926,395.768249511719
"2018-03-09",398.399993896484,400,397.100006103516,397.950012207031,35772,397.566497802734
"2018-03-16",396.730010986328,399.799987792969,392.100006103516,394.100006103516,50220,393.720245361328
"2018-03-23",390.100006103516,401.700012207031,390.100006103516,392.549987792969,72359,392.171691894531
"2018-03-29",392.549987792969,404.100006103516,390.399993896484,404.549987792969,156494,404.160125732422
"2018-04-05",402,402.899993896484,397.899993896484,400.25,30275,399.8642578125
"2018-04-12",397.799987792969,402.299987792969,390,402.450012207031,140393,402.062194824219
"2018-04-19",406.803985595703,406.832000732422,400.5,403.850006103516,96490,403.460784912109
"2018-04-26",412,422.100006103516,412,415.049987792969,233815,414.649993896484
"2018-05-03",414,428.899993896484,414,428.75,58707,428.336791992188
"2018-05-10",426.200012207031,428.700012207031,424.200012207031,424.799987792969,119588,424.390625
"2018-05-17",422.399993896484,429.899993896484,420.899993896484,422,406175,421.636444091797
"2018-05-24",420.299987792969,420.536987304688,413.600006103516,420,222455,419.638153076172
"2018-05-31",421.299987792969,421.299987792969,397.100006103516,396.149993896484,119934,395.808715820312
"2018-06-07",393,398.899993896484,391.5,397.799987792969,93282,397.457244873047
"2018-06-14",394.299987792969,398.5,391.399993896484,391.450012207031,69163,391.112701416016
"2018-06-21",393.700012207031,393.700012207031,383,383.700012207031,171988,383.369415283203
"2018-06-28",386.700012207031,386.899993896484,382.799987792969,385.200012207031,86922,384.868103027344
"2018-07-05",387.899993896484,395.200012207031,387.899993896484,392.850006103516,98722,392.511535644531
"2018-07-12",395.799987792969,396.600006103516,390.199005126953,396.850006103516,47064,396.508056640625
"2018-07-19",399.399993896484,404.5,397.299987792969,404.549987792969,65191,404.201446533203
"2018-07-26",405.200012207031,405.200012207031,400,403.850006103516,200807,403.502044677734
"2018-08-02",403,404.799987792969,399,403.850006103516,54473,403.502044677734
"2018-08-09",405,405,383.100006103516,388.700012207031,163301,388.365112304688
"2018-08-16",388.299987792969,397.299987792969,387.799987792969,392.200012207031,56331,391.862152099609
"2018-08-23",393,398.200012207031,389.236999511719,388.700012207031,48083,388.365112304688
"2018-08-30",390.799987792969,395.546997070312,383.200012207031,384.799987792969,83625,384.468475341797
"2018-09-06",384.299987792969,384.299987792969,377.799987792969,378.049987792969,33330,377.724212646484
"2018-09-13",379.5,383.5,376.100006103516,382.549987792969,59354,382.220336914062
"2018-09-20",382.899993896484,390.399993896484,381.299987792969,382.850006103516,80144,382.520172119141
"2018-09-27",383.100006103516,389.5,379,379,58793,378.673461914062
"2018-10-04",378.299987792969,378.299987792969,358.200012207031,361,56579,360.689025878906
"2018-10-11",363.100006103516,375.299987792969,362.600006103516,373.600006103516,120401,373.278106689453
"2018-10-18",373.484008789062,377.5,363.600006103516,368.149993896484,25131,367.832763671875
"2018-10-25",365.200012207031,374.100006103516,362.200012207031,373.450012207031,63971,373.128234863281
"2018-11-02",378.100006103516,391.5,374,389.75,67918,389.414154052734
"2018-11-09",390,395.200012207031,380.626007080078,385.950012207031,49049,385.617462158203
"2018-11-16",388.373992919922,389.399993896484,379.5,382.399993896484,78432,382.131988525391
"2018-11-23",384.399993896484,404.299987792969,383.100006103516,402.850006103516,149076,402.567687988281
"2018-11-30",406.5,408.899993896484,392.700012207031,390.049987792969,166561,389.776611328125
"2018-12-07",396.399993896484,401.700012207031,391.899993896484,401.549987792969,82829,401.268524169922
"2018-12-14",400.829010009766,401.016998291016,379.899993896484,379.899993896484,129332,379.633758544922
"2018-12-21",376.5,378.5,369.850006103516,372.100006103516,16530,371.839172363281
"2018-12-28",375.200012207031,385,372.299987792969,380.100006103516,31932,379.833557128906
"2019-01-04",381.5,400.299987792969,381.5,400.399993896484,214512,400.119323730469
"2019-01-11",398.5,400,394.899993896484,398.899993896484,64538,398.620422363281
"2019-01-18",400.399993896484,404.200012207031,395.299987792969,404.549987792969,22238,404.266448974609
"2019-01-25",405,416.799987792969,401.100006103516,416.450012207031,88283,416.158142089844
"2019-02-01",420.299987792969,426.700012207031,417.700012207031,418.950012207031,149843,418.656372070312
"2019-02-08",420.799987792969,435.200012207031,418,434.049987792969,84507,433.745727539062
"2019-02-15",434,436.5,427.5,429.600006103516,136187,429.298919677734
"2019-02-22",432.5,436.899993896484,419.899993896484,422.950012207031,127028,422.653594970703
"2019-03-01",427.100006103516,431.200012207031,420.700012207031,423.600006103516,228190,423.303131103516
"2019-03-08",417.600006103516,432,417.5,429.149993896484,65779,428.849243164062
"2019-03-15",432.700012207031,437.399993896484,430.399993896484,437.799987792969,201846,437.493194580078
"2019-03-22",435.100006103516,435.100006103516,419.700012207031,427.850006103516,154400,427.550109863281
"2019-03-29",432.100006103516,441.600006103516,430.399993896484,441.649993896484,145470,441.340515136719
"2019-04-04",443.100006103516,451.200012207031,442.799987792969,444.700012207031,114977,444.388244628906
"2019-04-11",446,450.5,442.200012207031,448.700012207031,242058,448.385528564453
"2019-04-18",448.700012207031,455,448.700012207031,452.299987792969,171004,451.982940673828
"2019-04-25",452.600006103516,457.100006103516,447.5,446.299987792969,275366,445.987121582031
"2019-05-02",449.100006103516,452.700012207031,441.200012207031,439.950012207031,167903,439.641662597656
"2019-05-09",446.899993896484,451.5,435.799987792969,451.5,147811,451.183532714844
"2019-05-16",448.100006103516,458.100006103516,443.700012207031,450.799987792969,96788,450.5146484375
"2019-05-23",450.899993896484,457.5,449.200012207031,457.200012207031,148777,456.91064453125
"2019-05-30",455.899993896484,466.700012207031,454,463.100006103516,295484,462.806915283203
"2019-06-06",466.399993896484,475,466.399993896484,474.5,268769,474.19970703125
"2019-06-13",476.399993896484,486.600006103516,473.200012207031,485.100006103516,583390,484.792999267578
"2019-06-20",485,487.5,478,478,228073,477.697479248047
"2019-06-27",485.399993896484,501.75,483.200012207031,500.049987792969,266291,499.733520507812
"2019-07-04",500.25,504.25,497.5,501.625,201051,501.307556152344
"2019-07-11",499,505,497.100006103516,500.100006103516,246950,499.783508300781
"2019-07-18",505.25,505.25,497.399993896484,498.5,228177,498.184509277344
"2019-07-25",501.75,523.5,499.5,523.625,171528,523.293640136719
"2019-08-01",511.75,521.440002441406,491.5,520.875,294750,520.545349121094
"2019-08-08",524.5,531.25,505.907989501953,506.75,283840,506.429260253906
"2019-08-15",509.75,530.052001953125,508.5,517.125,359932,516.797729492188
"2019-08-22",520.5,521.52099609375,511.625,514.375,137841,514.049438476562
"2019-08-29",517.25,533.25,517.205017089844,523.625,264605,523.293640136719
"2019-09-05",522.75,526,505.768005371094,522.125,235934,521.794494628906
"2019-09-12",516.75,589.52197265625,511,528,459626,527.665771484375
"2019-09-19",526.25,531.554992675781,517.642028808594,520.25,627316,519.920715332031
"2019-09-26",521,521.75,497.799987792969,501.375,479639,501.057739257812
"2019-10-03",508.5,521.955017089844,506.636993408203,519.125,466020,518.796508789062
"2019-10-10",514,514.924987792969,486.200012207031,493.5,383627,493.187683105469
"2019-10-17",487.799987792969,497.507995605469,486,493.799987792969,312232,493.487457275391
"2019-10-24",491.799987792969,493.944000244141,474.899993896484,477.850006103516,378454,477.547576904297
"2019-11-01",478.600006103516,484.446014404297,474.627990722656,478.799987792969,433122,478.496948242188
"2019-11-08",476.5,483.600006103516,474.200012207031,474.600006103516,485456,474.299652099609
"2019-11-15",476.600006103516,478.399993896484,468.700012207031,469.299987792969,287298,469.05322265625
"2019-11-22",472.299987792969,487.535003662109,470.743988037109,486.399993896484,299573,486.144317626953
"2019-11-29",487.799987792969,492.632995605469,482.040008544922,485.100006103516,393189,484.844970703125
"2019-12-06",485.799987792969,494.876007080078,482.063995361328,493.600006103516,305100,493.340515136719
"2019-12-13",489.399993896484,513.059997558594,486.380004882812,512.25,297701,511.980590820312
"2019-12-20",514.5,524.25,510.480010986328,520.875,166974,520.601196289062
"2019-12-27",522.75,525.030029296875,510.429992675781,518.75,329012,518.477233886719
"2020-01-03",523.5,530,514.419982910156,530,3410480,529.721374511719
"2020-01-10",529,547.650024414062,527.659973144531,543.375,789912,543.089477539062
"2020-01-17",547,554,538.47998046875,544.25,1088183,543.9638671875
"2020-01-24",545,560,535.25,538.5,1684531,538.216857910156
"2020-01-31",541,577.25,531.5,574.25,944603,573.948059082031
"2020-02-07",577,594.25,565.75,587,953620,586.69140625
"2020-02-14",587.75,642.5,587.599975585938,626.25,1763444,625.920837402344
"2020-02-21",633.25,642.140014648438,554.75,563.75,2013571,563.45361328125
"2020-02-28",551.25,643,450,585,1802249,584.692443847656
"2020-03-06",574,594,422.239990234375,428,1343446,427.774932861328
"2020-03-13",431.799987792969,548,400,420,1405338,419.779235839844
"2020-03-20",450,492.5,409.747985839844,483.25,669196,482.995971679688
"2020-03-27",473.399993896484,473.399993896484,425.100006103516,439.700012207031,641480,439.468872070312
"2020-04-02",420,496.299987792969,420,488.299987792969,651759,488.043273925781
"2020-04-09",488.299987792969,500,464.399993896484,476,815100,475.749755859375
"2020-04-16",478.100006103516,499.799987792969,469.544006347656,484.850006103516,558542,484.595153808594
"2020-04-23",478.200012207031,521.875,471.399993896484,495.25,1966287,494.989685058594
"2020-04-30",480.399993896484,507,472.399993896484,503.375,1463171,503.110382080078
"2020-05-07",503.375,533.5,490.691986083984,499.100006103516,1136067,498.837585449219
"2020-05-14",508.75,545,497,532.75,762835,532.496704101562
"2020-05-21",530,558.5,527.5,555.5,2397031,555.235900878906
"2020-05-28",543,569,542,562.875,940779,562.607482910156
"2020-06-04",566.75,583.25,545.5,547,1340332,546.739990234375
"2020-06-11",543.5,576.75,539,569.25,1550214,568.979370117188
"2020-06-18",571,585.75,562.5,566,1563380,565.730834960938
"2020-06-25",571.75,600.5,560.75,596.75,609072,596.466247558594
"2020-07-02",600,628.25,595.75,611.5,1205622,611.209228515625
"2020-07-09",613,647.25,610,642.25,1496960,641.944580078125
"2020-07-16",644,675,639.5,672.75,1202487,672.43017578125
"2020-07-23",668,669,630,636.75,1218767,636.447265625
"2020-07-30",635.5,690,626.455993652344,683.25,1136652,682.925170898438
"2020-08-06",683,719.75,680.25,717,1286193,716.659118652344
"2020-08-13",715.25,725,704,716.5,1279531,716.159240722656
"2020-08-20",709.5,742,706,735.25,1050730,734.900451660156
"2020-08-27",741.5,758.5,702,708.75,1582687,708.412963867188
"2020-09-03",707.5,737,670,734.25,1901281,733.90087890625
"2020-09-10",733.5,762.75,726.5,740.5,2782897,740.14794921875
"2020-09-17",744,765.75,722,742.25,2089411,741.89697265625
"2020-09-24",740.75,849.25,731.75,843.5,2314498,843.098876953125
"2020-10-01",838,971,831,949.5,5692886,949.048461914062
"2020-10-08",934.75,950.5,900.5,919.75,5437506,919.312744140625
"2020-10-15",927.5,944.5,868.5,873.5,3693274,873.084716796875
"2020-10-22",884.25,897,853.75,872.5,5735061,872.085144042969
"2020-10-30",866.5,931,855,930.75,4273096,930.307434082031
"2020-11-06",930.25,1010,907.799987792969,958.75,5592243,958.294067382812
"2020-11-13",957.5,957.5,927,941,4060220,940.583618164062
"2020-11-20",935,1001,935,999.25,4236808,998.807922363281
"2020-11-27",995,1041,980.039978027344,985.75,12374612,985.31396484375
"2020-12-04",984.75,1020,969.25,1008.5,5018697,1008.05383300781
"2020-12-11",1013,1079,1004,1070.5,4500941,1070.02648925781
"2020-12-18",1087.5,1209.5,1084,1180,6486683,1179.47802734375
"2020-12-25",1180,1225,1167,1191.5,2898527,1190.97290039062
"2021-01-01",1191.5,1430,1191.5,1425,9241713,1424.36962890625
"2021-01-08",1435.5,1497.5,1330,1359,15763887,1358.39868164062
"2021-01-15",1348,1354,1251.5,1348,11245010,1347.40368652344
"2021-01-22",1360,1410.5,1189.5,1262,15100148,1261.44152832031
"2021-01-29",1265,1330,1245,1301,8383469,1300.42443847656
"2021-02-05",1305,1322.5,1263.5,1294.5,7972656,1293.92736816406
"2021-02-12",1285,1288,1140,1148,10958468,1147.49194335938
"2021-02-19",1133,1179,999.5,1065,16137077,1064.52880859375
"2021-02-26",1029.5,1107,955,975.75,12941512,975.318298339844
"2021-03-05",956,1046,890,1046,18499554,1045.53723144531
"2021-03-12",1056.5,1056.5,957.780029296875,960.5,12646439,960.075012207031
"2021-03-19",944.25,1001,901,927.5,9894108,927.089721679688
"2021-03-26",942.75,1038.5,930.75,1013,9038755,1012.55187988281
"2021-04-01",1013,1013,950,981.5,4028625,981.065795898438
"2021-04-08",985,993.5,946.75,958.75,8836013,958.325744628906
"2021-04-15",961.75,1007.5,936.5,1002,10888516,1001.55670166016
"2021-04-22",1004.5,1019,961.5,964.5,6234317,964.073303222656
"2021-04-29",965.5,972,878,885.25,10733574,884.8583984375
"2021-05-06",886,913.234985351562,820,844,20259401,843.626647949219
"2021-05-13",844.25,906.25,844.25,906.25,4969751,905.881652832031
"2021-05-20",908,925,903.75,913.75,3904749,913.378479003906
"2021-05-27",916,934,886.75,896.25,3174264,895.885620117188
"2021-06-03",897.75,912.75,886.5,899.75,3637471,899.38427734375
"2021-06-10",909.75,937.25,905,934.5,3794342,934.1201171875
"2021-06-17",945,951.75,918.25,946,6278375,945.615417480469
"2021-06-24",946,998.25,943.5,974,4963124,973.60400390625
"2021-07-01",980,996,948.25,961.25,2770910,960.859313964844
"2021-07-08",967,972,916.908020019531,919.5,4079236,919.126220703125
"2021-07-15",919,963.5,895,951,3758340,950.613342285156
"2021-07-22",951,957.75,905.75,935.75,2345117,935.369689941406
"2021-07-29",930.75,958.25,924.75,949,3491945,948.6142578125
"2021-08-05",951,970,938,940.75,2647449,940.367553710938
"2021-08-12",948.5,953,916.5,938,1990049,937.618774414062
"2021-08-19",943.25,971.5,934.75,961.25,3470594,960.859313964844
"2021-08-26",962,989.75,950,988.5,1381541,988.098205566406
"2021-09-02",987.75,989,945,950.5,1920054,950.113647460938
"2021-09-09",952.75,955.75,922.5,928,2455702,927.622863769531
"2021-09-16",930,960,913,946.25,2786858,945.865417480469
"2021-09-23",942.5,947.588012695312,915.25,915.25,2284209,914.8779296875
"2021-09-30",915,924,870,907,4660057,906.63134765625
"2021-10-07",906.5,965.25,885,949.75,4714557,949.363952636719
"2021-10-14",958.5,992.5,945.5,981.5,2583957,981.101013183594
"2021-10-21",983.75,1041,973.75,1037,2544797,1036.57836914062
"2021-10-28",1040,1084,1011.5,1040,4430270,1039.5771484375
"2021-11-05",1041.5,1061.11999511719,1021.5,1057,2647028,1056.5703125
"2021-11-12",1058,1071.61999511719,1022,1029.5,1738119,1029.11706542969
"2021-11-19",1032.5,1060.5,1000,1037.5,2705687,1037.11389160156
"2021-11-26",1016,1024.5,961.5,973,3057574,972.637939453125
"2021-12-03",977.25,1001,931,977.75,2228546,977.386352539062
"2021-12-10",966,971.25,909.25,925.75,2116300,925.405578613281
"2021-12-17",913.5,920.75,879.25,904.75,2382623,904.413391113281
"2021-12-24",912,913.75,880,902.5,999018,902.164184570312
"2021-12-31",900.25,911,827,838.75,2548464,838.43798828125
"2022-01-07",835.75,842.25,808.223022460938,830.75,3120030,830.44091796875
"2022-01-14",821.25,823.75,788,821.5,6472087,821.194274902344
"2022-01-21",806.25,806.25,741.25,766.5,5446260,766.214782714844
"2022-01-28",757.5,803.25,735.25,771.25,3101987,770.963073730469
"2022-02-04",779,812.25,757.75,791.75,2360866,791.455383300781
"2022-02-11",778.25,795.75,750.880981445312,785.5,3589772,785.207824707031
"2022-02-18",780,786,714,780,5454081,779.709838867188
"2022-02-25",800.25,897.75,790.25,840.5,5172069,840.187316894531
"2022-03-04",834.25,949.5,831.75,905.75,8367036,905.412963867188
"2022-03-11",922,939.5,859.75,912.5,3588110,912.160461425781
"2022-03-18",917.25,926,904,914,2132848,913.659912109375
"2022-03-25",923,948.5,900.950012207031,942.75,3328721,942.399230957031
"2022-03-31",949,988.5,939.929016113281,943.75,2982253,943.398864746094
"2022-04-07",952,953.25,906.75,916.25,2254259,915.909118652344
"2022-04-14",916.25,937.5,880.25,880.75,5457471,880.42236328125
"2022-04-21",874.5,890.25,854.5,865,2655116,864.678283691406
"2022-04-28",880.75,920.25,861.5,881.5,1499689,881.171997070312
"2022-05-05",888.25,892.75,766.5,792.75,2025399,792.455078125
"2022-05-12",795,864,795,864,2442030,863.705322265625
"2022-05-19",872.25,892.25,854,890.75,1425510,890.4462890625
"2022-05-26",890.25,922.5,883,899.75,1484709,899.443237304688
"2022-06-02",899.75,959.5,899.75,930,1306753,929.682922363281
"2022-06-09",921,926.75,838.68798828125,839.75,1937705,839.463623046875
"2022-06-16",844,904,840.75,892.75,1442537,892.445556640625
"2022-06-23",910,935.75,871.5,896,4967774,895.694396972656
"2022-06-30",891.75,947.75,886.5,943.375,1199013,943.053344726562
"2022-07-07",938,962.5,907.242980957031,920,1720720,919.686340332031
"2022-07-14",922.5,949,881.25,937,1975371,936.680480957031
"2022-07-21",942.5,1045,921.5,1027,1670155,1026.64965820312
"2022-07-28",1030,1060.5,1014.5,1045,2272461,1044.64379882812
"2022-08-04",1047,1124.5,1008,1109.5,3644945,1109.12182617188
"2022-08-11",1103,1128,1090,1111.5,6382497,1111.12097167969
"2022-08-18",1112,1129.5,1067,1110,2036533,1109.62158203125
"2022-08-25",1126.5,1128.5,1065,1072.5,2209953,1072.13427734375
"2022-09-01",1080,1145,1000,1139,2091528,1138.61145019531
"2022-09-08",1142.5,1150,1105,1114,1614602,1113.62023925781
"2022-09-15",1110,1116,1050.5,1053.5,1176496,1053.14074707031
"2022-09-22",1050.5,1078.5,993.5,995,1555969,994.660705566406
"2022-09-29",992,1030.5,974.5,983.5,1677945,983.164611816406
"2022-10-06",973.75,1105,861,900,1829845,899.693115234375
"2022-10-13",922.5,936,892.5,907.25,2802223,906.940551757812
"2022-10-20",905.5,945,890.52001953125,942.75,1255427,942.428527832031
"2022-10-27",931,977,922.5,975.5,1130470,975.167358398438
